,rotation,a,b,A,n2,a,b,c,V,n3,r,roundness,error,y1,y2,,Am,Ac,r,Ana,Ana,An,mu,r,g(mu),At
,,[pixel],[pixel],[mm2],,[mm],[mm],[mm],[mm3],,,,,c/a,b/a,,measured,computed,Ac/Am,measured,[mm2],[mm2],,,,[mm2]
,125,593,508,263690,2.88,71.54,61.18,49.37,151880,2.93,31.06,0.63,,0.69,0.86,1,46662.11,3847.46,0.08,24626.47,2030.54,7989.66,1.12,33.10,0.87,12037.83
,125,379,525,180730,3.49,71.54,61.18,49.37,0,0.00,,,,0.69,0.86,2,35660.26,2655.15,0.07,7901.84,588.35,,,,,
,125,604,422,221190,2.77,71.54,61.18,49.37,0,0.00,,,,0.69,0.86,3,39459.39,3104.76,0.08,17487.24,1375.94,,,,,
,150,589,502,254140,2.66,71.54,61.18,49.37,142140,2.64,34.45,0.70,,0.69,0.86,1,45249.84,3752.12,0.08,19682.55,1632.08,6141.25,1.09,32.37,0.83,10921.77
,150,390,524,181630,3.09,71.54,61.18,49.37,0,0.00,,,,0.69,0.86,2,34586.52,2589.35,0.07,7033.33,526.56,,,,,
,150,601,423,213380,2.44,71.54,61.18,49.37,0,0.00,,,,0.69,0.86,3,37999.82,3027.82,0.08,11445.66,911.99,,,,,
,175,570,505,241280,2.43,68.29,59.36,49.37,131100,2.62,34.93,0.71,,0.72,0.87,1,42464.49,3469.55,0.08,17427.92,1423.94,2847.89,1.09,31.51,0.83,10314.65
,175,421,524,189120,2.64,68.29,59.36,49.37,0,0.00,,,,0.72,0.87,2,33306.83,2508.30,0.08,,,,,,,
,175,572,417,198900,2.39,68.29,59.36,49.37,0,0.00,,,,0.72,0.87,3,35384.51,2885.64,0.08,,,,,,,
,200,562,503,231410,2.25,67.54,59.36,49.37,123210,2.44,37.43,0.76,,0.73,0.88,1,,,,,,,,,,
,200,420,497,181710,2.81,67.54,59.36,49.37,0,0.00,,,,0.73,0.88,2,,,,,,,,,,
,200,572,419,195200,2.21,67.54,59.36,49.37,0,0.00,,,,0.73,0.88,3,,,,,,,,,,
,225,512,451,196820,2.58,65.26,57.05,49.37,113520,2.41,38.15,0.77,,0.76,0.87,1,,,,,,,,,,
,225,490,415,173680,2.60,65.26,57.05,49.37,0,0.00,,,,0.76,0.87,2,,,,,,,,,,
,225,549,417,188880,2.30,65.26,57.05,49.37,0,0.00,,,,0.76,0.87,3,,,,,,,,,,
,250,521,465,200130,2.31,62.47,56.66,49.37,104300,2.31,40.07,0.81,,0.79,0.91,1,,,,,,,,,,
,250,410,482,159980,2.17,62.47,56.66,49.37,0,0.00,,,,0.79,0.91,2,,,,,,,,,,
,250,522,417,177940,2.24,62.47,56.66,49.37,0,0.00,,,,0.79,0.91,3,,,,,,,,,,
,275,504,469,189460,2.11,61.35,56.46,49.37,96708,2.17,42.21,0.85,,0.80,0.92,1,,,,,,,,,,
,275,416,479,164330,2.30,61.35,56.46,49.37,0,0.00,,,,0.80,0.92,2,,,,,,,,,,
,275,497,415,168560,2.24,61.35,56.46,49.37,0,0.00,,,,0.80,0.92,3,,,,,,,,,,
,300,486,458,176720,2.06,59.26,56.24,49.37,87895,2.04,44.66,0.90,,0.83,0.95,1,,,,,,,,,,
,300,408,469,150490,2.01,59.26,56.24,49.37,0,0.00,,,,0.83,0.95,2,,,,,,,,,,
,300,473,411,159400,2.26,59.26,56.24,49.37,0,0.00,,,,0.83,0.95,3,,,,,,,,,,
,325,464,455,163410,1.93,55.36,55.39,47.84,78576,2.05,43.10,0.90,,0.86,1.00,1,,,,,,,,,,
,325,412,456,145890,1.94,55.36,55.39,47.84,0,0.00,,,,0.86,1.00,2,,,,,,,,,,
,325,482,414,152130,1.86,55.36,55.39,47.84,0,0.00,,,,0.86,1.00,3,,,,,,,,,,
,350,458,430,157080,2.08,54.03,53.06,45.05,71686,2.10,41.36,0.92,,0.83,0.98,1,,,,,,,,,,
,350,389,436,135050,2.07,54.03,53.06,45.05,0,0.00,,,,0.83,0.98,2,,,,,,,,,,
,350,459,391,138660,1.92,54.03,53.06,45.05,0,0.00,,,,0.83,0.98,3,,,,,,,,,,
